mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__optimizer;param_model__neurons;param_model__loss;param_model__kernel_initializer;param_model__dropout_rate;param_model__activation;param_epochs;param_batch_size;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score
30.557367006937664;2.59013468113168;0.817488431930542;0.1108805727441969;adam;4;mae;random_uniform;0.2;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-17895.230860034353;-18933.52203698315;-19375.216600602973;-18734.656499206827;620.3494040500681;29
46.03265372912089;2.758954722065499;0.6950692335764567;0.0590816635715335;sgd;32;mae;random_uniform;0.2;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-10515.734888247269;-12139.271544155496;-12666.88988918151;-11773.96544052809;915.4064203116473;26
28.63395667076111;0.6514537968945954;0.8384904066721598;0.0656026156408634;sgd;32;mae;random_uniform;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-51685.97951644165;-52089.68560235386;-52392.45167208647;-52056.03893029399;289.3956928738319;51
30.931254466374718;1.3633282810140364;0.8576655387878418;0.0319372300301165;adam;16;mse;normal;0.2;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-10198.932395877317;-10369.14462654323;-8645.001284599148;-9737.692769006566;775.7680327432205;22
58.083235581715904;1.0790621003898966;0.752037525177002;0.1205453591994017;adam;32;mse;normal;0.3;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-4346.924640464278;-5116.826281008564;-7028.246983214203;-5497.332634895681;1127.227037304032;2
26.608347336451214;2.38190388965082;0.6799023151397705;0.0831774773757574;sgd;4;mse;random_uniform;0.3;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-8981.49411932777;-8906.104726318605;-8870.411586638365;-8919.33681076158;46.30441527689474;11
26.69186838467916;2.3765291651986877;0.7424147923787435;0.1350875369593366;sgd;4;mae;normal;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53646.86241830968;-54051.58968320264;-54355.09690524077;-54017.84966891769;290.11815241678664;66
24.34866007169088;2.5064199845443134;0.6544167995452881;0.040401458713502;sgd;4;mae;random_uniform;0.3;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-53926.58484567785;-16876.21867644653;-54634.65630007719;-41812.486607400526;17634.97349094269;44
31.2341050306956;1.2503508212592989;0.7153309981028239;0.124141241385935;adam;32;mae;normal;0.3;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53758.52905954504;-54161.53144040478;-54467.37560705031;-54129.14536900004;290.2900850222192;74
27.943670908610027;0.4523522201412015;0.7585179011027018;0.0803076404686128;sgd;4;mse;normal;0.3;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};;;;;;92
57.05502406756083;1.9901366845251147;0.7685108184814453;0.1272605230437222;adam;32;mae;random_uniform;0.3;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53528.634848729605;-53933.88054623974;-54236.71064425444;-53899.7420130746;290.07690088093585;61
31.23503891626994;0.6823502568279433;0.745564858118693;0.0891824050335859;adam;4;mae;random_uniform;0.2;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53958.72718729162;-54363.27980008496;-54667.12698412871;-54329.71132383509;290.1754641454152;91
46.60971426963806;2.20729830818418;0.75718092918396;0.0341156461375087;sgd;16;mse;normal;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-8977.836290418265;-8924.72111973966;-8876.601567342705;-8926.386325833542;41.34567266794822;13
55.23190975189209;1.9202857372289897;0.7856490612030029;0.1094805438718929;adam;4;mae;random_uniform;0.2;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-19733.170015165782;-19148.272277300548;-18715.391774505377;-19198.94468899057;417.0482839914421;30
49.91566960016886;4.680999717135458;0.7497941652933756;0.1224861407961849;sgd;4;mae;random_uniform;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53296.20448984289;-53700.310844091306;-54003.1267209146;-53666.54735161626;289.5856122852501;56
31.728182872136436;0.9859337857222928;0.6963090896606445;0.055883798501705;adam;32;mse;normal;0.3;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-10658.895811504826;-6589.742788287615;-3265.7842810872285;-6838.140960293223;3023.331580027813;5
50.52324414253235;5.026553466368834;0.81414262453715;0.1069560626311546;sgd;4;mse;random_uniform;0.3;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-8989.573719471182;-8902.272584624485;-8951.055240494346;-8947.633848196672;35.722555715973456;18
28.53177221616109;1.2410505423234437;0.7986034552256266;0.103242355922245;sgd;16;mae;normal;0.3;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-53926.59672464513;-54330.35530057324;-17643.6466849046;-41966.86623670765;17199.903338310167;45
25.619364738464355;0.9873094414336184;0.823868195215861;0.1277318688230606;sgd;4;mse;random_uniform;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-8973.555107140804;-8911.009270285676;-8835.513990858804;-8906.692789428429;56.43764376925746;8
29.02937809626261;2.13717628757877;0.7306903998057047;0.0519622486682597;adam;16;mse;random_uniform;0.3;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53871.3854289937;-54275.746627477536;-54579.877766141646;-54242.33660753763;290.2039742705445;82
28.89003364245097;1.986771455267048;0.6415371100107828;0.0351541887725268;adam;16;mae;normal;0.2;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-11153.475679898282;-10748.93094417466;-12610.205137026353;-11504.203920366432;799.3093390506348;25
